user_id,name,water_bill,gas_bill,electricity_bill,parking_fees,waste_management_fee
1,User1,14.15,83.49,202.81,98.02,18.36
2,User2,19.22,64.43,202.05,71.53,25.34
3,User3,25.86,53.32,173.12,40.17,20.97
4,User4,76.86,113.03,128.25,8.53,25.99
5,User5,57.09,90.01,130.16,8.87,31.94
6,User6,21.06,65.19,104.33,29.21,26.2
7,User7,15.79,142.93,241.33,86.55,14.22
8,User8,34.77,73.91,73.07,14.19,13.72
9,User9,62.44,96.48,179.11,81.19,35.82
10,User10,52.27,61.61,242.13,54.09,15.12
11,User11,36.71,52.18,244.2,16.49,34.36
12,User12,31.43,97.81,143.1,15.5,12.84
13,User13,10.18,93.66,82.83,11.62,27.59
14,User14,77.57,105.1,190.56,65.14,28.0
15,User15,22.88,121.26,194.37,5.32,11.88
